Sensor_data:0.02,0.02,1.02,0.67,0.73,-0.37,0.02,
Sensor_data:0.00,0.10,1.02,-1.04,1.22,-0.31,-1.07,
Sensor_data:-0.05,0.04,1.08,-0.73,1.04,-0.79,0.02,
Sensor_data:-0.02,0.11,0.90,1.71,0.98,-1.16,0.99,
Sensor_data:0.01,0.13,0.92,1.89,0.67,-1.28,0.93,
Sensor_data:-0.01,0.03,1.04,1.53,0.79,-1.59,-0.30,
Sensor_data:-0.05,-0.01,1.03,0.31,1.04,-1.77,-0.59,
Sensor_data:-0.01,0.01,1.02,0.55,1.16,-2.14,-0.59,
Sensor_data:-0.01,-0.02,0.98,1.53,0.85,-2.26,-0.52,
Sensor_data:0.04,0.02,0.95,2.08,0.92,-2.26,-0.04,
Sensor_data:0.02,-0.03,1.04,0.31,0.92,-2.01,0.06,
Sensor_data:0.02,-0.01,1.13,-1.16,1.16,-1.89,0.02,
Sensor_data:-0.01,-0.11,0.90,2.32,0.85,-1.77,0.28,
Sensor_data:-0.01,-0.10,1.06,0.73,0.79,-1.46,-0.07,
Sensor_data:0.03,-0.05,0.91,-0.37,0.79,-1.40,0.89,
Sensor_data:0.05,0.01,1.10,-1.71,1.04,-1.22,0.06,
Sensor_data:0.03,-0.01,0.93,0.06,1.16,-0.85,-1.01,
Sensor_data:-0.01,-0.04,1.00,1.10,0.79,-0.55,-0.65,
Sensor_data:-0.00,-0.01,0.94,0.24,0.73,-0.61,0.99,
Sensor_data:0.01,-0.03,1.07,-0.12,0.79,-0.31,0.99,
Sensor_data:0.00,0.04,1.03,-0.92,1.22,-0.43,0.09,
Sensor_data:0.01,0.02,1.01,0.37,1.22,-0.18,-0.62,
Sensor_data:-0.02,0.01,0.91,1.10,1.10,-0.18,-0.52,
Sensor_data:0.01,-0.02,1.09,0.85,0.73,-0.31,-0.49,
Sensor_data:0.02,-0.03,0.81,-1.04,0.98,-0.49,-0.72,
Sensor_data:0.04,0.06,0.95,-3.11,1.40,-0.67,-0.52,
Sensor_data:0.04,0.07,1.03,1.28,1.34,-0.37,0.12,
Sensor_data:0.00,0.10,0.97,0.85,0.79,-0.55,1.12,
Sensor_data:-0.03,0.09,0.94,0.31,1.04,-0.55,0.18,
Sensor_data:-0.05,0.07,1.00,-0.06,0.85,-0.98,-0.91,
Sensor_data:-0.01,0.11,0.93,1.16,1.10,-1.46,-0.49,
Sensor_data:-0.01,0.06,0.99,1.83,1.04,-1.71,0.22,
Sensor_data:-0.02,-0.01,0.98,2.01,0.98,-1.71,0.93,
Sensor_data:-0.01,-0.01,0.96,0.98,0.92,-1.83,0.83,
Sensor_data:0.01,-0.02,1.05,-0.79,1.10,-2.08,0.83,
Sensor_data:0.01,-0.05,1.04,1.53,0.98,-2.14,0.70,
Sensor_data:0.03,-0.01,0.94,1.95,1.04,-1.95,0.76,
Sensor_data:0.02,-0.08,1.10,1.04,0.92,-1.89,0.67,
Sensor_data:-0.03,-0.12,0.99,-0.79,0.92,-1.83,0.09,
Sensor_data:0.02,-0.02,0.98,0.61,1.10,-1.53,0.09,
Sensor_data:0.07,-0.04,0.90,2.81,0.92,-1.65,-0.94,
Sensor_data:0.00,-0.12,0.97,-0.06,0.79,-1.28,-1.04,
Sensor_data:0.04,0.02,0.99,-2.01,1.34,-1.10,1.22,
Sensor_data:-0.01,-0.03,0.94,0.85,0.85,-0.79,0.93,
Sensor_data:-0.01,-0.05,1.15,-0.67,1.10,-0.61,0.02,
Sensor_data:0.00,0.05,0.86,1.65,0.98,-0.31,-0.75,
Sensor_data:-0.00,0.00,0.93,1.04,0.92,-0.18,-0.69,
Sensor_data:-0.01,-0.02,1.05,-1.40,1.10,-0.06,0.09,
Sensor_data:0.01,0.02,1.04,-0.37,1.34,-0.18,0.02,
Sensor_data:0.02,-0.00,1.07,0.73,1.16,-0.31,0.25,
Sensor_data:-0.07,-0.05,0.89,0.92,1.04,-0.37,0.09,
Sensor_data:0.00,0.01,1.02,-1.28,1.40,-0.67,0.99,
Sensor_data:0.00,0.08,1.18,-1.04,0.67,-0.61,1.09,
Sensor_data:-0.03,0.12,1.05,0.12,1.22,-0.37,0.28,
Sensor_data:-0.04,0.00,1.03,2.32,1.04,-0.73,-1.04,
Sensor_data:-0.01,0.16,0.89,1.46,0.92,-1.04,0.09,
Sensor_data:0.01,0.16,1.09,0.18,0.98,-1.40,1.09,
Sensor_data:-0.03,0.02,0.97,0.43,1.04,-1.71,0.86,
Sensor_data:-0.01,-0.00,1.05,0.79,1.04,-1.89,0.73,
Sensor_data:-0.00,-0.02,1.00,2.01,0.92,-2.08,0.12,
Sensor_data:0.01,-0.00,0.92,1.53,0.85,-2.20,0.12,
Sensor_data:0.00,-0.02,1.03,-0.37,1.22,-2.14,-0.78,
Sensor_data:-0.01,-0.06,0.98,0.24,1.34,-1.95,-0.59,
Sensor_data:0.01,-0.02,1.04,1.16,1.28,-1.77,0.22,
Sensor_data:0.04,-0.09,0.94,2.32,0.79,-1.83,-0.72,
Sensor_data:-0.00,-0.06,0.98,-1.16,0.98,-1.59,-0.81,
Sensor_data:0.00,-0.14,1.34,0.00,1.16,-1.40,-0.91,
Sensor_data:0.02,-0.01,0.79,1.22,0.92,-1.10,0.22,
Sensor_data:0.00,-0.09,1.04,0.73,1.22,-0.85,1.02,
Sensor_data:-0.01,-0.04,1.02,0.06,0.73,-0.61,0.02,
Sensor_data:0.02,0.00,1.09,-1.16,0.98,-0.49,-1.20,
Sensor_data:0.00,0.04,0.96,-0.61,1.34,-0.37,-0.43,
Sensor_data:-0.00,0.02,0.96,1.59,1.04,-0.12,0.09,
Sensor_data:-0.01,-0.04,1.04,1.16,0.92,0.00,0.89,
Sensor_data:-0.00,-0.01,1.04,0.00,1.10,-0.31,0.70,
Sensor_data:0.03,-0.01,0.89,-1.83,1.28,-0.49,0.86,
Sensor_data:0.06,0.04,1.21,-1.83,1.59,-0.55,0.89,
Sensor_data:-0.01,-0.01,0.93,1.65,0.73,-0.49,0.80,
Sensor_data:0.01,0.06,0.98,1.22,0.92,-0.37,0.09,
Sensor_data:-0.03,0.10,1.01,-0.24,1.22,-0.55,-1.17,
Sensor_data:-0.03,0.09,0.99,1.16,1.04,-0.98,0.12,
Sensor_data:-0.03,0.05,1.06,0.43,0.98,-1.28,0.86,
Sensor_data:0.00,0.09,0.94,2.26,0.85,-1.40,0.99,
Sensor_data:-0.03,0.01,1.04,2.20,1.10,-1.59,0.06,
Sensor_data:-0.02,0.01,0.97,0.06,1.16,-2.01,-0.72,
Sensor_data:-0.01,-0.02,1.01,0.37,1.10,-2.32,-0.65,
Sensor_data:0.01,-0.04,1.07,1.10,1.04,-2.32,-0.62,
Sensor_data:0.02,-0.04,0.96,2.08,0.79,-2.32,-0.62,
Sensor_data:0.00,-0.05,1.10,0.79,1.10,-1.71,-0.49,
Sensor_data:-0.02,-0.08,0.96,-0.55,1.22,-1.71,-0.01,
Sensor_data:0.00,-0.12,1.13,1.10,1.10,-1.65,-0.01,
Sensor_data:0.04,0.02,0.86,1.22,0.92,-1.71,-0.01,
Sensor_data:0.06,-0.04,1.07,-0.24,0.92,-1.59,0.99,
Sensor_data:0.06,0.02,0.95,-0.85,1.46,-1.22,-0.04,
Sensor_data:0.02,-0.07,1.08,1.04,1.04,-0.85,-0.81,
Sensor_data:-0.01,-0.02,0.92,0.73,1.10,-0.49,0.02,
Sensor_data:-0.00,-0.07,1.10,0.37,0.73,-0.43,0.99,
Sensor_data:-0.01,0.04,0.92,-0.18,0.79,-0.37,1.18,
Sensor_data:-0.00,0.00,1.02,-1.16,1.28,-0.06,-0.04,
Sensor_data:-0.00,0.06,0.89,0.06,1.28,-0.12,-0.04,
